"dates","times","X","Subject","eprocs","Task_type","Procedure","Sample","objlist","PairList","ITIDur","ObjDur","startPosition","startFacing","paths","e_paths","Vid_paths","select_made","StartAt","EndAt","end_location","end_rotation","accuracy","nodesturns_count","nodes_count","turns_count","average_RT","final_movevid_OT","trial_starttime","trial_endtime","trial_duration","getready_rttime","iti_onset","startat_onset","goal_onset","session_time","Position1..Num.","Position2..Num.","Euc.Distance","Euclid.S.L","Euclid.S.M.L","Path.Distance","Path.S.L","Path.S.M.L","Num.Nodes","Nodes.S.L","Nodes.S.M.L","Num.Nodes...Turns..button.presses.","Press.S.L","Press.S.M.L","fmv_duration","path_dist_trav","euc_dist_trav","path_efficiencies","path_efficiencies_acc_only"
2017-02-07,"15:10:46",1,2,"Explore-002-1","1",NA,NA,NA,NA,NA,NA,NA,NA,"T U U R R Q Q T T X X X X V V X Z P P Z X T T Q H H G G L L G A A G G H H B B C C I C C D E E M M O M M S S R R R R U U T T T X X X T U W U T X X V Y Y V X Z P P Z X T T Q Q R R R R J J K J J J J D D E E M M O M M E E F F N N F F E E M S S R R U U W U T T T X X V V X X T T Q Q Q H H G G L L G A A G G H H H H B B C C I C C D E E E F F F E E E D D J J K J","U2 U1 R1 R4 Q4 Q3 T3 T4 X4 X3 X2 X3 V2 V1 X1 Z1 P2 P3 Z2 X2 T2 T1 Q1 H1 H4 G4 G3 L2 L1 G1 A4 A3 G3 G2 H2 H1 B1 B2 C2 C3 I2 C1 C2 D2 E2 E3 M3 M4 O2 M2 M3 S3 S4 R4 R1 R4 R3 U3 U4 T4 T1 T4 X4 X3 X2 T2 U2 W4 U4 T4 X4 X3 V2 Y3 Y4 V1 X1 Z1 P2 P3 Z2 X2 T2 T1 Q1 Q2 R2 R3 R2 R1 J1 J2 K2 J4 J3 J2 J1 D1 D2 E2 E3 M3 M4 O2 M2 M1 E1 E2 F2 F3 N3 N1 F1 F4 E4 E3 M3 S3 S4 R4 R3 U3 U2 W4 U4 T4 T1 T4 X4 X3 V2 V1 X1 X2 T2 T1 Q1 Q2 Q1 H1 H4 G4 G3 L2 L1 G1 A4 A3 G3 G2 H2 H3 H4 H1 B1 B2 C2 C3 I2 C1 C2 D2 E2 E3 E2 F2 F3 F4 E4 E3 E4 D4 D3 J3 J2 K2 J4 NA","T2_U2 U2_U1 U1_R1 R1_R4 R4_Q4 Q4_Q3 Q3_T3 T3_T4 T4_X4 X4_X3 X3_X2 X2_X3 X3_V2 V2_V1 V1_X1 X1_Z1 Z1_P2 P2_P3 P3_Z2 Z2_X2 X2_T2 T2_T1 T1_Q1 Q1_H1 H1_H4 H4_G4 G4_G3 G3_L2 L2_L1 L1_G1 G1_A4 A4_A3 A3_G3 G3_G2 G2_H2 H2_H1 H1_B1 B1_B2 B2_C2 C2_C3 C3_I2 I2_C1 C1_C2 C2_D2 D2_E2 E2_E3 E3_M3 M3_M4 M4_O2 O2_M2 M2_M3 M3_S3 S3_S4 S4_R4 R4_R1 R1_R4 R4_R3 R3_U3 U3_U4 U4_T4 T4_T1 T1_T4 T4_X4 X4_X3 X3_X2 X2_T2 T2_U2 U2_W4 W4_U4 U4_T4 T4_X4 X4_X3 X3_V2 V2_Y3 Y2_Y4 Y4_V1 V1_X1 X1_Z1 Z1_P2 P2_P3 P3_Z2 Z2_X2 X2_T2 T2_T1 T1_Q1 Q1_Q2 Q2_R2 R2_R3 R3_R2 R2_R1 R1_J1 J1_J2 J2_K2 K2_J4 J4_J3 J3_J2 J2_J1 J1_D1 D1_D2 D2_E2 E2_E3 E3_M3 M3_M4 M4_O2 O2_M2 M2_M1 M1_E1 E1_E2 E2_F2 F2_F3 F3_N3 N3_N1 N1_F1 F1_F4 F4_E4 E4_E3 E3_M3 M3_S3 S3_S4 S4_R4 R4_R3 R3_U3 U3_U2 U2_W4 W4_U4 U4_T4 T4_T1 T1_T4 T4_X4 X4_X3 X3_V2 V2_V1 V1_X1 X1_X2 X2_T2 T2_T1 T1_Q1 Q1_Q2 Q2_Q1 Q1_H1 H1_H4 H4_G4 G4_G3 G3_L2 L2_L1 L1_G1 G1_A4 A4_A3 A3_G3 G3_G2 G2_H2 H2_H3 H3_H4 H4_H1 H1_B1 B1_B2 B2_C2 C2_C3 C3_I2 I2_C1 C1_C2 C2_D2 D2_E2 E2_E3 E3_E2 E2_F2 F2_F3 F3_F4 F4_E4 E4_E3 E3_E4 E4_D4 D4_D3 D3_J3 J3_J2 J2_K2 K2_J4",NA,NA,NA,"J",4,NA,178,95,83,338.661016949153,NA,32965,518379,485414,32951,NA,NA,NA,"15:10:46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300.75,9.83933432707721,NA,NA
2017-02-07,"15:20:22",2,2,"Explore-002-2","2",NA,NA,NA,NA,NA,NA,NA,NA,"E D D D C C I C C B B H H G G L L G A A G G H H Q T T U W U U U T X X V V X Z P P Z X T T Q H H G G L L G G H H Q T T T T X X V V X Z P P Z X T U W U U R R R R S S M M O M M M M E E E E F F F E E E D D J J K J J R R R R R R R U U U R J J K J J D D C C I C C C C B B H H G G L L G A A G G H H H H B B C C I C C D E E E F F F E E M M O M M S S R R R R U U W","D4 D3 D4 C4 C3 I2 C1 C4 B4 B3 H3 H4 G4 G3 L2 L1 G1 A4 A3 G3 G2 H2 H3 Q3 T3 T2 U2 W4 U4 U1 U4 T4 X4 X3 V2 V1 X1 Z1 P2 P3 Z2 X2 T2 T1 Q1 H1 H4 G4 G3 L2 L1 G1 G2 H2 H3 Q3 T3 T2 T1 T4 X4 X3 V2 V1 X1 Z1 P2 P3 Z2 X2 T2 U2 W4 U4 U1 R1 R4 R1 R2 S2 S1 M1 M4 O2 M2 M3 M4 M1 E1 E4 E3 E2 F2 F3 F4 E4 E3 E4 D4 D3 J3 J2 K2 J4 J3 R3 R2 R3 R4 R1 R2 R3 U3 U2 U1 R1 J1 J2 K2 J4 J1 D1 D4 C4 C3 I2 C1 C2 C3 C4 B4 B3 H3 H4 G4 G3 L2 L1 G1 A4 A3 G3 G2 H2 H3 H4 H1 B1 B2 C2 C3 I2 C1 C2 D2 E2 E3 E2 F2 F3 F4 E4 E3 M3 M4 O2 M2 M3 S3 S4 R4 R1 R4 R3 U3 U2 W4 NA","E4_D4 D4_D3 D3_D4 D4_C4 C4_C3 C3_I2 I2_C1 C1_C4 C4_B4 B4_B3 B3_H3 H3_H4 H4_G4 G4_G3 G3_L2 L2_L1 L1_G1 G1_A4 A4_A3 A3_G3 G3_G2 G2_H2 H2_H3 H3_Q3 Q3_T3 T3_T2 T2_U2 U2_W4 W4_U4 U4_U1 U1_U4 U4_T4 T4_X4 X4_X3 X3_V2 V2_V1 V1_X1 X1_Z1 Z1_P2 P2_P3 P3_Z2 Z2_X2 X2_T2 T2_T1 T1_Q1 Q1_H1 H1_H4 H4_G4 G4_G3 G3_L2 L2_L1 L1_G1 G1_G2 G2_H2 H2_H3 H3_Q3 Q3_T3 T3_T2 T2_T1 T1_T4 T4_X4 X4_X3 X3_V2 V2_V1 V1_X1 X1_Z1 Z1_P2 P2_P3 P3_Z2 Z2_X2 X2_T2 T2_U2 U2_W4 W4_U4 U4_U1 U1_R1 R1_R4 R4_R1 R1_R2 R2_S2 S2_S1 S1_M1 M1_M4 M4_O2 O2_M2 M2_M3 M3_M4 M4_M1 M1_E1 E1_E4 E4_E3 E3_E2 E2_F2 F2_F3 F3_F4 F4_E4 E4_E3 E3_E4 E4_D4 D4_D3 D3_J3 J3_J2 J2_K2 K2_J4 J4_J3 J3_R3 R3_R2 R2_R3 R3_R4 R4_R1 R1_R2 R2_R3 R3_U3 U3_U2 U2_U1 U1_R1 R1_J1 J1_J2 J2_K2 K2_J4 J4_J1 J1_D1 D1_D4 D4_C4 C4_C3 C3_I2 I2_C1 C1_C2 C2_C3 C3_C4 C4_B4 B4_B3 B3_H3 H3_H4 H4_G4 G4_G3 G3_L2 L2_L1 L1_G1 G1_A4 A4_A3 A3_G3 G3_G2 G2_H2 H2_H3 H3_H4 H4_H1 H1_B1 B1_B2 B2_C2 C2_C3 C3_I2 I2_C1 C1_C2 C2_D2 D2_E2 E2_E3 E3_E2 E2_F2 F2_F3 F3_F4 F4_E4 E4_E3 E3_M3 M3_M4 M4_O2 O2_M2 M2_M3 M3_S3 S3_S4 S4_R4 R4_R1 R1_R4 R4_R3 R3_U3 U3_U2 U2_W4",NA,NA,NA,"W",4,NA,178,90,88,300.180790960452,NA,31023,513851,482828,31002,NA,NA,NA,"15:20:22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285.75,13.8946932315903,NA,NA
2017-02-07,"15:29:23",3,2,"Test_Trials_B_1-002-1","B1","TrialProc",1,20,8,4089.223705,2970.298489,23,4,"W U U R J D D D D E F F F E D D J J J","U4 U1 R1 J1 D1 D4 D3 D2 E2 F2 F3 F4 E4 D4 D3 J3 J2 J3","W4_U4 U4_U1 U1_R1 R1_J1 J1_D1 D1_D4 D4_D3 D3_D2 D2_E2 E2_F2 F2_F3 F3_F4 F4_E4 E4_D4 D4_D3 D3_J3 J3_J2 J2_J3",FALSE,"W","N","J",3,FALSE,19,9,10,346.388888888889,142128,98348,143746,45398,92352,143746,92378,95363,"15:29:23",23,10,10.854147,"L","L",12.25,"S","M",3,"S","S",5,"S","M",1618,31.25,10.8541466730462,2.55102040816327,NA
2017-02-07,"15:29:23",4,2,"Test_Trials_B_1-002-1","B1","TrialProc",2,61,7,5676.939823,2239.434682,11,2,"K J J R U U T X Z P P","J4 J3 R3 U3 U4 T4 X4 Z1 P2 P2","K2_J4 J4_J3 J3_R3 R3_U3 U3_U4 U4_T4 T4_X4 X4_Z1 Z1_P2 Selec",TRUE,"K","W","P",1,FALSE,11,8,3,552.2,183873,152352,184924,31572,92352,184924,147849,150100,"15:29:23",11,16,11.45098249,"L","L",23,"L","M",6,"S","M",8,"S","S",1051,23,11.4509824905988,1,NA
2017-02-07,"15:29:23",5,2,"Test_Trials_B_1-002-1","B1","TrialProc",3,67,1,5425.446684,2141.597832,16,2,"P P Z T T Q H H G G L L","P3 Z2 T2 T1 Q1 H1 H4 G4 G3 L3 L3","P2_P3 P3_Z2 Z2_T2 T2_T1 T1_Q1 Q1_H1 H1_H4 H4_G4 G4_G3 G3_L3 Selec",TRUE,"P","L","L",3,TRUE,12,7,5,549.818181818182,226552,194914,227603,31689,92352,227603,190611,192763,"15:29:23",16,12,2.263846285,"S","S",22.5,"L","M",6,"S","M",10,"L","M",1051,22.5,2.26384628453435,1,1
2017-02-07,"15:29:23",6,2,"Test_Trials_B_1-002-1","B1","TrialRevProc",4,21,2,2433.827314,2607.698604,12,2,"L L G G H H B B C D E F F F E E M M O O","L1 G1 G2 H2 H1 B1 B2 C2 D2 E2 F2 F3 F4 E4 E3 M3 M4 O2 O2","L2_L1 L1_G1 G1_G2 G2_H2 H2_H1 H1_B1 B1_B2 B2_C2 C2_D2 D2_E2 E2_F2 F2_F3 F3_F4 F4_E4 E4_E3 E3_M3 M3_M4 M4_O2 Selec",TRUE,"L","O","O",1,TRUE,20,11,9,253.368421052632,279788,238277,280839,41562,92352,280839,235658,233040,"15:29:23",12,15,8.514693183,"S","M",25.5,"L","L",8,"L","L",14,"L","L",1051,31.5,9.01387818865997,1.23529411764706,1.23529411764706
2017-02-07,"15:29:23",7,2,"Test_Trials_B_1-002-1","B1","TrialRevProc",5,58,3,2970.298489,2577.330739,1,1,"A A G G H H B B C D E E E F F N N","A3 G3 G2 H2 H1 B1 B2 C2 D2 E2 E3 E2 F2 F3 N3 N3","A4_A3 A3_G3 G3_G2 G2_H2 H2_H1 H1_B1 B1_B2 B2_C2 C2_D2 D2_E2 E2_E3 E3_E2 E2_F2 F2_F3 F3_N3 Selec",TRUE,"A","N","N",3,TRUE,17,9,8,368.875,320933,288461,321984,32523,92352,321984,285876,283291,"15:29:23",1,14,15.18222645,"L","L",23,"L","M",8,"L","L",12,"L","L",1051,23,14.7054411698527,1,1
2017-02-07,"15:29:23",8,2,"Test_Trials_B_1-002-1","B1","TrialRevProc",6,44,4,3847.359876,2577.013529,11,2,"K J J R U U W W","J4 J3 R3 U3 U2 W4 W4","K2_J4 J4_J3 J3_R3 R3_U3 U3_U2 U2_W4 Selec",TRUE,"K","P","W",4,FALSE,8,5,3,546.857142857143,355073,330139,356124,24985,92352,356124,327554,324969,"15:29:23",11,23,12.26019984,"L","L",15.75,"S","S",4,"S","S",6,"S","S",1051,15.75,12.2601998352392,1,NA
2017-02-07,"15:29:23",9,2,"Test_Trials_B_1-002-1","B1","TrialRevProc",7,56,5,5226.234131,2362.888841,23,4,"W U U R J J J D D C C C D E E E D C B B","U4 U1 R1 J1 J2 J1 D1 D4 C4 C3 C2 D2 E2 E3 E4 D4 C4 B4 B3","W4_U4 U4_U1 U1_R1 R1_J1 J1_J2 J2_J1 J1_D1 D1_D4 D4_C4 C4_C3 C3_C2 C2_D2 D2_E2 E2_E3 E3_E4 E4_D4 D4_C4 C4_B4 B4_B3",FALSE,"W","P","B",3,FALSE,20,10,10,368.736842105263,409494,364731,411044,46313,92352,411044,362363,359993,"15:29:23",23,2,15.002083,"L","L",19.75,"L","L",6,"L","L",8,"L","M",1550,32.75,15.0020831886775,1.65822784810127,NA
2017-02-07,"15:29:23",10,2,"Test_Trials_B_1-002-1","B1","TrialProc",8,59,6,5342.706841,2918.583374,1,1,"A A G L L","A3 G3 L3 L3","A4_A3 A3_G3 G3_L3 Selec",TRUE,"A","L","L",3,TRUE,5,3,2,345,431510,422152,432576,9424,92352,432576,416281,419217,"15:29:23",1,12,6.08276253,"S","S",6,"S","S",2,"S","S",3,"S","S",1066,6,6,1,1
